"_id","text","user_rating"
"ObjectId(""5e7f429480102400074a9b9d"")","denken an die Zukunft",4
"ObjectId(""5e7f429480102400074a9b9e"")","macht mir Freude",2
"ObjectId(""5e7f429480102400074a9b9f"")","ernste Angelenheit",4
"ObjectId(""5e7f429480102400074a9ba0"")","gute Beratung",4
"ObjectId(""5e7f429480102400074a9ba1"")","guter Informationsfluss",4
"ObjectId(""5e7f429480102400074a9ba2"")","zufriedenstellend",4
"ObjectId(""5e7f429480102400074a9ba3"")","gibt mir Vertrauen",3
"ObjectId(""5e7f429480102400074a9ba4"")","zur Zeit zögerlich",4
"ObjectId(""5e7f429480102400074a9ba6"")","gute Kundenzufriedenheit",3
"ObjectId(""5e7f429480102400074a9ba7"")","schlechter Kundenservice",3
"ObjectId(""5e7f429480102400074a9ba8"")","gehen auf Wünsche ein",3
"ObjectId(""5e7f429480102400074a9ba9"")","zu viele Sortimentswechsel",4
"ObjectId(""5e7f429480102400074a9baa"")","pünktlich",3
"ObjectId(""5e7f429480102400074a9bab"")","Sinnvolle Dienstleistung",2
"ObjectId(""5e7f429480102400074a9bac"")","tolle Erlebnisse",3
"ObjectId(""5e7f429480102400074a9bad"")","vielseitigkeit",4
"ObjectId(""5e7f429480102400074a9bae"")","soziale Verantwortung",4
"ObjectId(""5e7f429480102400074a9baf"")","eigenverantwortlich",4
"ObjectId(""5e7f429480102400074a9bb0"")","guter Service",2
"ObjectId(""5e7f429480102400074a9bb1"")","zu komplex",4
"ObjectId(""5e7f429480102400074a9bb2"")","Digital besser aufgestellt",4
"ObjectId(""5e7f429480102400074a9bb3"")","Rückständig",4
"ObjectId(""5e7f429480102400074a9bb4"")","zu viele Geschäftsbereiche",3
"ObjectId(""5e7f429480102400074a9bb5"")","gute Dokumente",3
"ObjectId(""5e7f429480102400074a9bb6"")","Gestalter der Zukunft",5
"ObjectId(""5e7f429480102400074a9bb7"")","Sicherheit",3
"ObjectId(""5e7f429480102400074a9bb9"")","Altbacken",4
"ObjectId(""5e7f429480102400074a9bba"")","gute Qualität",2
"ObjectId(""5e7f429480102400074a9bbb"")","Perfektion",4
"ObjectId(""5e7f429480102400074a9bbc"")","gehen auf Kunde ein",3
"ObjectId(""5e7f429480102400074a9bbd"")","Machen Ihr Ding",3
"ObjectId(""5e7f429480102400074a9bbe"")","Herzlich",3
"ObjectId(""5e7f429480102400074a9bbf"")","Effizienz",4
"ObjectId(""5e7f429480102400074a9bc0"")","Modern",4
"ObjectId(""5e7f429480102400074a9bc1"")","Verstaubt",4
"ObjectId(""5e7f429480102400074a9bc2"")","Dynamisch",4
"ObjectId(""5e7f429480102400074a9bc4"")","Digitale Kompetenz",4
"ObjectId(""5e7f429480102400074a9bc5"")","Zäh",4
"ObjectId(""5e7f429480102400074a9bc6"")","Vielseitig",4
"ObjectId(""5e7f429480102400074a9bc7"")","Einseitig",4
"ObjectId(""5e7f429480102400074a9bc8"")","Traditionell",3
"ObjectId(""5e7f429480102400074a9bc9"")","Modern",2
"ObjectId(""5e7f429480102400074a9bca"")","schlechte Arbeitsbedingungen",3
"ObjectId(""5e7f429480102400074a9bcb"")","vom Staat kontrolliert",4
"ObjectId(""5e7f429480102400074a9bcc"")","preisgünstig",3
"ObjectId(""5e7f429480102400074a9bcd"")","zuverlässig",4
"ObjectId(""5e7f429480102400074a9bce"")","gute Infrastruktur",2
"ObjectId(""5e7f429480102400074a9bcf"")","erfüllt meine Bedürfnisse",1
"ObjectId(""5e7f429480102400074a9bd0"")","Freiheit",3
"ObjectId(""5e7f429480102400074a9bd2"")","gute Vorsorge",3
"ObjectId(""5e7f429480102400074a9bd3"")","schlechte Arbeitsbedingungen",3
"ObjectId(""5e7f429480102400074a9bd4"")","zeitsparend",4
"ObjectId(""5e7f429480102400074a9bd5"")","flexibel",4
"ObjectId(""5e7f429480102400074a9bd6"")","Zugang zu Informationen",2
"ObjectId(""5e7f429480102400074a9bd7"")","unbedeutend",1
"ObjectId(""5e7f429480102400074a9bd8"")","komfortabel",4
"ObjectId(""5e7f429480102400074a9bd9"")","Sicherheit",3
"ObjectId(""5e7f429480102400074a9bda"")","hält mich auf dem Laufenden",4
"ObjectId(""5e7f429480102400074a9bdb"")","profitorientiert",3
"ObjectId(""5e7f429480102400074a9bdc"")","Kundenkontakt am Schalter",4
"ObjectId(""5e7f429480102400074a9bdd"")","lange Wartezeit am Telefon",5
"ObjectId(""5e7f429480102400074a9bde"")","nachhaltig",4
"ObjectId(""5e7f429480102400074a9bdf"")","Kundenfreundlichkeit",2
"ObjectId(""5e7f429480102400074a9be0"")","Arbeit durch Dienstleister erledigt",1
"ObjectId(""5e7f429480102400074a9be1"")","Wünsche werden berücksichtigt",3
"ObjectId(""5e7f429480102400074a9be3"")","vielfälltigkeit",4
"ObjectId(""5e7f429480102400074a9be4"")","fördert Mitarbeiter",4
"ObjectId(""5e7f429480102400074a9be5"")","mehr Kundenkontakt",2
"ObjectId(""5e7f429480102400074a9be6"")","vielfältiges Angebot",3
"ObjectId(""5e7f429480102400074a9be7"")","Wünsche werden respektiert",4
"ObjectId(""5e7f429480102400074a9be8"")","haben klares Angebot",3
"ObjectId(""5e7f429480102400074a9be9"")","informiert mich",3
"ObjectId(""5e7f429480102400074a9bea"")","kundenorientiert",3
"ObjectId(""5e7f429480102400074a9beb"")","begleitend",4
"ObjectId(""5e7f429480102400074a9bec"")","virtuell unterwegs",4
"ObjectId(""5e7f429480102400074a9bed"")","neutral",4
"ObjectId(""5e7f429480102400074a9bee"")","Verlässlichkeit",4
"ObjectId(""5e7f429480102400074a9bef"")","Teuer",3
"ObjectId(""5e7f429480102400074a9bf0"")","macht mich zufrieden",1
"ObjectId(""5e7f429480102400074a9bf1"")","guter Support",3
"ObjectId(""5e7f429480102400074a9bf2"")","zuverlässig",4
"ObjectId(""5e7f429480102400074a9bf3"")","nettes Personal",3
"ObjectId(""5e7f429480102400074a9bf4"")","Umweltfreundlich",4
"ObjectId(""5e7f429480102400074a9bf5"")","Umweltbelastend",4
"ObjectId(""5e7f429480102400074a9bf6"")","interessant",1
"ObjectId(""5e7f429480102400074a9bf7"")","viele Arbeitsmöglichkeiten",4
"ObjectId(""5e7f429480102400074a9bf8"")","gibt Kredit",1
"ObjectId(""5e7f429480102400074a9bf9"")","eingeschränkt",3
"ObjectId(""5e7f429480102400074a9bfb"")","anonym",4
"ObjectId(""5e7f429480102400074a9bfc"")","praktisch",4
"ObjectId(""5e7f429480102400074a9bfd"")","baut ab",3
"ObjectId(""5e7f429480102400074a9bfe"")","vielfältig",3
"ObjectId(""5e7f429480102400074a9bff"")","bietet unbegrenzte Möglichkeiten",3
"ObjectId(""5e7f429480102400074a9c00"")","näher am Staat und vertrauenswürdig",4
"ObjectId(""5e7f429480102400074a9c01"")","weniger leistungs-, mehr profitorientiert (zocken einen ab)",4
"ObjectId(""5e7f429480102400074a9c02"")","sind in Kommunikation mit mir als Kunde, macht es fassbar und dadurch vertrauenswürdig",5
"ObjectId(""5e7f429480102400074a9c03"")","Dienstanbieter, ist mir weniger nahe und weniger wichtig",1
"ObjectId(""5e7f429480102400074a9c04"")","pünktlich, verlässlich und sauber",4
"ObjectId(""5e7f429480102400074a9c05"")","mehr Rücksicht auf mein Wohlbefinden",3
"ObjectId(""5e7f429480102400074a9c06"")","flexibel und frei in Zeit und Raum",4
"ObjectId(""5e7f429480102400074a9c07"")","begrenzt und dadurch Gefühl von Unwohlsein",4
"ObjectId(""5e7f429480102400074a9c09"")","unsympathisch, weil Grosskonzern mit Hauptsache Profit",5
"ObjectId(""5e7f429480102400074a9c0a"")","Gefühl von Nähe, dadurch Geborgenheit",4
"ObjectId(""5e7f429480102400074a9c0b"")","egoistisch, weil ihr Geschäft wichtiger ist als ihre Kunden",4
"ObjectId(""5e7f429480102400074a9c0d"")","regellos, braucht mehr Zeit für Orientierung",4
"ObjectId(""5e7f429480102400074a9c0e"")","persönlicher Bezug, weil ich selber Einfluss darauf habe",5
"ObjectId(""5e7f429480102400074a9c0f"")","machtlos, muss mich den Regeln anpassen",4
"ObjectId(""5e7f429480102400074a9c10"")","haben klarere Form, kann es dadurch besser einschätzen",4
"ObjectId(""5e7f429480102400074a9c11"")","misstrauisch, weil vieles international und ungeregelt",4
"ObjectId(""5e7f429480102400074a9c12"")","Verlässlichkeit",4
"ObjectId(""5e7f429480102400074a9c13"")","Auf Profit aus",3
"ObjectId(""5e7f429480102400074a9c14"")","Fassbar",4
"ObjectId(""5e7f429480102400074a9c15"")","Freundlichkeit",2
"ObjectId(""5e7f429480102400074a9c16"")","Flexibel",4
"ObjectId(""5e7f429480102400074a9c17"")","Vollkommen",2
"ObjectId(""5e7f429480102400074a9c18"")","Beständig",4
"ObjectId(""5e7f429480102400074a9c19"")","Bietet viele Möglichkeiten",3
"ObjectId(""5e7f429480102400074a9c1a"")","Sicherheit",3
"ObjectId(""5e7f429480102400074a9c1b"")","Traditionell",4
"ObjectId(""5e7f429480102400074a9c1c"")","Erreichbarkeit",3
"ObjectId(""5e7f429480102400074a9c1d"")","Freiheit",4
"ObjectId(""5e7f429480102400074a9c1e"")","Unsicher",4
"ObjectId(""5e7f429480102400074a9c1f"")","Unendlich",3
"ObjectId(""5e7f429480102400074a9c20"")","Kommerziell",4
"ObjectId(""5e7f429480102400074a9c21"")","Vielseitig",4
"ObjectId(""5e7f429480102400074a9c22"")","Erreichbarkeit",3
"ObjectId(""5e7f429480102400074a9c23"")","Erleichtert das Leben",3
"ObjectId(""5e7f429480102400074a9c24"")","weniger Kundennah da profitorientiert",4
"ObjectId(""5e7f429480102400074a9c26"")","Geht auf meine Wünsche ein",4
"ObjectId(""5e7f429480102400074a9c27"")","Angebot auf meine Bedürfnisse eingestellt",4
"ObjectId(""5e7f429480102400074a9c28"")","Mitarbeiter nicht immer freundlich",3
"ObjectId(""5e7f429480102400074a9c29"")","Ist zuvorkommend",4
"ObjectId(""5e7f429480102400074a9c2a"")","Gibt mir ein Heimatsgefühl",5
"ObjectId(""5e7f429480102400074a9c2b"")","Gib mir das Gefühl von Freiheit",4
"ObjectId(""5e7f429480102400074a9c2c"")","Bietet familiäres Umfeld",4
"ObjectId(""5e7f429480102400074a9c2d"")","Grossbetrieb schlechteres Klima und gewinnorientierte",3
"ObjectId(""5e7f429480102400074a9c2e"")","Geben Unabhängigkeit",4
"ObjectId(""5e7f429480102400074a9c2f"")","Macht mich glücklich",2
"ObjectId(""5e7f429480102400074a9c30"")","Jederzeit mobil, macht Leben einfacher",4
"ObjectId(""5e7f429480102400074a9c31"")","Teureres Angebot",3
"ObjectId(""5e7f429480102400074a9c33"")","Altmodisch",4
"ObjectId(""5e7f429480102400074a9c34"")","Weniger abwechslungsreiches Aufgabengebiet",3
"ObjectId(""5e7f429480102400074a9c35"")","Neutral, lässt mir alle Wege offen",4
"ObjectId(""5e7f429480102400074a9c37"")","altmodisch, noch nicht digital",4
"ObjectId(""5e7f429480102400074a9c38"")","schnell lieferunfähig",4
"ObjectId(""5e7f429480102400074a9c39"")","Nicht ökologisch",4
"ObjectId(""5e7f429480102400074a9c3a"")","fühle mich Verbunden durch digitales W-LAN Services",4
"ObjectId(""5e7f429480102400074a9c3b"")","bieten kein WiFI für Kunden, so dass ich mich nicht verbunden fühle",4
"ObjectId(""5e7f429480102400074a9c3c"")","geben mir das Gefühl von Ungebundheit, Freiheit",5
"ObjectId(""5e7f429480102400074a9c3d"")","fühle mich an bestimmten Zeitplan gebunden",5
"ObjectId(""5e7f429480102400074a9c3e"")","kosteneffiziente Entscheidungen zu treffen, und das gibt mir ein Gefühl von Unternehmergeist",4
"ObjectId(""5e7f429480102400074a9c3f"")","in einem großen Unternehmen dauern Entscheidungen länger, dadurch habe ich das Gefühl dass ich mich nicht weiter entwickel",4
"ObjectId(""5e7f429480102400074a9c40"")","gibt mir das Gefühl, meine Zeit vernünftig zu nutzen",5
"ObjectId(""5e7f429480102400074a9c41"")","Gebühren zu erhöhen, gibt mir das Gefühl, mein Geld nicht sinnvoll auszugeben",5
"ObjectId(""5e7f429480102400074a9c42"")","die meisten bieten das Freemium-Programm / die Light-Version nicht umsonst an, das gibt mir das Gefühl, dass sie mich ausnutzen",4
"ObjectId(""5e7f429480102400074a9c43"")","ich mag kostenlose Programmversionen weil ich sie testen kann",5
"ObjectId(""5e7f429480102400074a9c44"")","hinsichlich der Digitalisierung, habe ich das Gefühl ständig auf dem neuesten Stand zu sein",4
"ObjectId(""5e7f429480102400074a9c45"")","langsame Bearbeitungswege, weil große Firma",4
"ObjectId(""5e7f429480102400074a9c46"")","wenn man Skype geschäftlich nutzt, ist das Unternehmen fortschrittlich",1
"ObjectId(""5e7f429480102400074a9c47"")","Das Fehlen von Kartenzahlungen an vielen Orten gibt mir das Gefühl, dass sie nicht die gesamte digitale Kapazität nutzen, die wir haben.",5
"ObjectId(""5e7f429480102400074a9c48"")","Sind näher an der Bevölkerung",4
"ObjectId(""5e7f429480102400074a9c49"")","ist profitorientiert und macht agressive Werbung",4
"ObjectId(""5e7f429480102400074a9c4a"")","Geht auf Kundenbedürfnisse optimal ein",4
"ObjectId(""5e7f429480102400074a9c4b"")","weniger Individualität da Franchising Unternehmen",2
"ObjectId(""5e7f429480102400074a9c4c"")","jederzeit flexibel",5
"ObjectId(""5e7f429480102400074a9c4d"")","muss mich an sie richten da vorgegebene Zeiten",4
"ObjectId(""5e7f429480102400074a9c4e"")","Da für die Bevölkerung",4
"ObjectId(""5e7f429480102400074a9c4f"")","freie Zeiteinteilung",4
"ObjectId(""5e7f429480102400074a9c50"")","ermöglicht gute Work-Life Balance und home office",4
"ObjectId(""5e7f429480102400074a9c51"")","starre Organisation wenig Flexibilität",5
"ObjectId(""5e7f429480102400074a9c53"")","bietet mir Erholung",4
"ObjectId(""5e7f429480102400074a9c54"")","Innovativ und fortschrittlich",4
"ObjectId(""5e7f429480102400074a9c55"")","eher reguliert und staatsnah somit träg für mich",5
"ObjectId(""5e7f429480102400074a9c56"")","offen für neues",4
"ObjectId(""5e7f429480102400074a9c57"")","alter Bekannter mit wenig Veränderung",3
"ObjectId(""5e7f429480102400074a9c58"")","stabil und sicher",4
"ObjectId(""5e7f429480102400074a9c59"")","schnell und unvorsehbar",5
"ObjectId(""5e7f429480102400074a9c5a"")","haben gute Apps",4
"ObjectId(""5e7f429480102400074a9c5b"")","hat viele Störungen",3
"ObjectId(""5e7f429480102400074a9c5c"")","gute Preise",3
"ObjectId(""5e7f429480102400074a9c5d"")","schöne Emotionen",3
"ObjectId(""5e7f429480102400074a9c5e"")","bringt Freunde zusammen",5
"ObjectId(""5e7f429480102400074a9c5f"")","machen ihr Ding",3
"ObjectId(""5e7f429480102400074a9c61"")","machen Abstand zu mir",3
"ObjectId(""5e7f429480102400074a9c62"")","loyal",4
"ObjectId(""5e7f429480102400074a9c63"")","hektisch",4
"ObjectId(""5e7f429480102400074a9c64"")","guter Service macht mich zufrieden",3
"ObjectId(""5e7f429480102400074a9c65"")","anonym",3
"ObjectId(""5e7f429480102400074a9c66"")","sehr hilfsbereit",3
"ObjectId(""5e7f429480102400074a9c67"")","unsympathischer Kundenservice",4
"ObjectId(""5e7f429480102400074a9c68"")","macht dass ich mich fröhlich fühle",3
"ObjectId(""5e7f429480102400074a9c69"")","unpersönlich",4
"ObjectId(""5e7f429480102400074a9c6a"")","bringt mir Freude",3
"ObjectId(""5e7f429480102400074a9c6b"")","schnippisch",4
"ObjectId(""5e7f429480102400074a9c6c"")","antworten schnell",4
"ObjectId(""5e7f429480102400074a9c6e"")","super qualität Produkte und service",4
"ObjectId(""5e7f429480102400074a9c6f"")","ist in allem ideal für mich",1
"ObjectId(""5e7f429480102400074a9c70"")","nur gute erfahrung damit gemacht",2
"ObjectId(""5e7f429480102400074a9c71"")","neutral, weder gut noch schlecht",3
"ObjectId(""5e7f429480102400074a9c72"")","nett und fröhlich",3
"ObjectId(""5e7f429480102400074a9c73"")","pünktlich",4
"ObjectId(""5e7f429480102400074a9c74"")","offen und ehrlich",4
"ObjectId(""5e7f429480102400074a9c75"")","zeitdruck und stress",4
"ObjectId(""5e7f429480102400074a9c76"")","frei , ohne stress",4
"ObjectId(""5e7f429480102400074a9c77"")","bleibt nicht bei ihrer haupttätigkeit",3
"ObjectId(""5e7f429480102400074a9c78"")","fortschrittlich und innovativ",4
"ObjectId(""5e7f429480102400074a9c79"")","weniger sympathisch, da grosskonzern",3
"ObjectId(""5e7f429480102400074a9c7a"")","fühle mich überwacht",4
"ObjectId(""5e7f429480102400074a9c7c"")","ländlich und traditionell",4
"ObjectId(""5e7f429480102400074a9c7d"")","zu grosses Unternehmen übt Macht aus",5
"ObjectId(""5e7f429480102400074a9c7e"")","Kundennähe, persönliche Ansprache",4
"ObjectId(""5e7f429480102400074a9c7f"")","überwiegend Shops unter ""fremder"" Führung, Callcenter",4
"ObjectId(""5e7f429480102400074a9c80"")","Kundennähe, Freundlichkeit, persönlich",3
"ObjectId(""5e7f429480102400074a9c81"")","Möchte ""ideal"" für alle sein, evtl. Gefahr das nicht persönlich, ""nicht echt""",3
"ObjectId(""5e7f429480102400074a9c82"")","kundennah",4
"ObjectId(""5e7f429480102400074a9c83"")","authentisch",4
"ObjectId(""5e7f429480102400074a9c84"")","verbindet die Schweiz",4
"ObjectId(""5e7f429480102400074a9c85"")","unabhängig, frei",4
"ObjectId(""5e7f429480102400074a9c86"")","ehrlich, offen,",4
"ObjectId(""5e7f429480102400074a9c87"")","grosser Konzern, Kontrolle von ""oben""",4
"ObjectId(""5e7f429480102400074a9c88"")","hat den Wunsch es allen Recht zu machen",4
"ObjectId(""5e7f429480102400074a9c89"")","Kontrolle, geht nicht auf einzelne Bedürfnisse ein",4
"ObjectId(""5e7f429480102400074a9c8a"")","ich vertraue ihnen Geld an",4
"ObjectId(""5e7f429480102400074a9c8b"")","nicht zu ""fassen"", keine Kontrolle",4
"ObjectId(""5e7f429480102400074a9c8d"")","Abhängigkeit, engt mich ein",4
"ObjectId(""5e7f429480102400074a9c8f"")","Kontrolliert, viele Resourcen, verlässlich",4
"ObjectId(""5e7f429480102400074a9c90"")","kundenfreundlich",3
"ObjectId(""5e7f429480102400074a9c91"")","Fehlkommunikation und zuwenig Transparenz (schicken Pakete vor Frist zurück)",4
"ObjectId(""5e7f429480102400074a9c92"")","hilfsbereit und erbringt Zusatzleistungen",4
"ObjectId(""5e7f429480102400074a9c93"")","man muss alles selber erledigen, Billigladen",4
"ObjectId(""5e7f429480102400074a9c94"")","pünktlich und zuverlässig",4
"ObjectId(""5e7f429480102400074a9c95"")","nerven mich, da Ausfall und Verspätungen",4
"ObjectId(""5e7f429480102400074a9c96"")","offen und freundlich",4
"ObjectId(""5e7f429480102400074a9c97"")","leben in eigener Welt, kümmern sich zu wenig um Mitwelt",4
"ObjectId(""5e7f429480102400074a9c98"")","kooperativ und kompromissbereit",4
"ObjectId(""5e7f429480102400074a9c99"")","zeitdruck bei Arbeit, schreckt mich ab",2
"ObjectId(""5e7f429480102400074a9c9a"")","hilfsbereit und kommunikativ",4
"ObjectId(""5e7f429480102400074a9c9b"")","genervt da online Dienstleistung nicht funktioniert",5
"ObjectId(""5e7f429480102400074a9c9d"")","probieren Verbesserungen zu machen, die aber meistens misslingen",4
"ObjectId(""5e7f429480102400074a9c9e"")","fröhlich und offen gegenüber Neuem",4
"ObjectId(""5e7f429480102400074a9c9f"")","Kürzen Dienstleistungen (durch Schliessen der Filialen)",5
"ObjectId(""5e7f429480102400074a9ca0"")","fortschrittlich und zukunftsorientiert",4
"ObjectId(""5e7f429480102400074a9ca1"")","schlechte Löhne",4
"ObjectId(""5e7f429480102400074a9ca2"")","unzuverlässig",4
"ObjectId(""5e7f429480102400074a9ca3"")","unsaubere Finanzen",4
"ObjectId(""5e7f429480102400074a9ca4"")","Kundenkontakt, menschliche Kommunikation, gibt gutes Gefühl, wird ernst genommen",4
"ObjectId(""5e7f429480102400074a9ca5"")","fachgerechte Beratung, komme wieder, Kundenbindung",4
"ObjectId(""5e7f429480102400074a9ca6"")","mehr selber bestimmen, flexibler reisen, Gefühl von Freiheit",5
"ObjectId(""5e7f429480102400074a9ca7"")","billiger und umweltfreundlicher, wichtige Faktoren",2
"ObjectId(""5e7f429480102400074a9ca8"")","Wahlfreiheit, kann mich frei bewegen, bin unabhängig",3
"ObjectId(""5e7f429480102400074a9ca9"")","bin angewiesen und abhängig,  Gefühl von Unflexibilität",5
"ObjectId(""5e7f429480102400074a9caa"")","Entscheidungsfreiheit, grosse Flexibilität, motiviert mich zum arbeiten",5
"ObjectId(""5e7f429480102400074a9cab"")","fixe Arbeitszeiten, einbusse meiner persönlicher Freiheit",4
"ObjectId(""5e7f429480102400074a9cac"")","realer Bezug, bin auf PostFinance angewiesen, akzeptiere Bedingungen",4
"ObjectId(""5e7f429480102400074a9cad"")","individueller, Bedürfnisse des Einzelnen erfüllend",4
"ObjectId(""5e7f429480102400074a9cae"")","helfen einen rund um die Uhr",3
"ObjectId(""5e7f429480102400074a9caf"")","vage Informationen, störungsanfällig, gibt ein schlechtes Bild",5
"ObjectId(""5e7f429480102400074a9cb0"")","Kundenumgang, freundlich, dienend, zuvorkommend, hilfsbereit, umsorgend",4
"ObjectId(""5e7f429480102400074a9cb1"")","Produktangebot, unpersönlich",4
"ObjectId(""5e7f429480102400074a9cb2"")","fahren viele Stationen an, gute Standards, gibt Sicherheitsgefühl",4
"ObjectId(""5e7f429480102400074a9cb3"")","anonym, fühle mich weniger aufgehoben und ernst genommen",4
"ObjectId(""5e7f429480102400074a9cb4"")","sicher und sauber, gibt gutes Gefühl",4
"ObjectId(""5e7f429480102400074a9cb5"")","finanziell nicht ganz sauber, gibt schlechteres Image",4
"ObjectId(""5e7f429480102400074a9cb6"")","Freiheit in Arbeitsausführung, finanzielle Sicherheit, sozial",4
"ObjectId(""5e7f429480102400074a9cb7"")","Arbeitsplatzsicherheit gefährdet",4
"ObjectId(""5e7f429480102400074a9cb8"")","Kundenbedürfnisse werden erkannt",2
"ObjectId(""5e7f429480102400074a9cb9"")","Preis-Leistungsverhältnis stimmt nicht, fühle mich ausgenommen",5
"ObjectId(""5e7f429480102400074a9cba"")","sicher geregelt, gibt gutes Gefühl",4
"ObjectId(""5e7f429480102400074a9cbb"")","etwas unfassbar, anonym, gibt unsicheres Gefühl",4
"ObjectId(""5e7f429480102400074a9cbc"")","sehr flexibel und umfangreich, gibt Freiheitsgefühl",4
"ObjectId(""5e7f429480102400074a9cbd"")","starr, eingeschränkte Freiheit",4
"ObjectId(""5e7f429480102400074a9cbe"")","Pünktlichkeit",4
"ObjectId(""5e7f429480102400074a9cbf"")","Verlässlich",4
"ObjectId(""5e7f429480102400074a9cc0"")","Design, Präsentation schlüssig",4
"ObjectId(""5e7f429480102400074a9cc1"")","sehr persönliche Einkaufsberatung",4
"ObjectId(""5e7f429480102400074a9cc2"")","Anschluss zu abgelegenen Gebieten, verlässlich und Freiheit",5
"ObjectId(""5e7f429480102400074a9cc3"")","grössere Flexibilität",4
"ObjectId(""5e7f429480102400074a9cc4"")","Verlässlichkeit, Pünklichkeit, Sauberkeit",4
"ObjectId(""5e7f429480102400074a9cc5"")","in jeder Situation verfügbar und lösungsorientiert",4
"ObjectId(""5e7f429480102400074a9cc6"")","offene Gestaltungsmöglichkeiten",4
"ObjectId(""5e7f429480102400074a9cc7"")","vorgegebene Strukturen",4
"ObjectId(""5e7f429480102400074a9cc8"")","persönliche Beratung",4
"ObjectId(""5e7f429480102400074a9cc9"")","kein massgeschneidertes, persönliches Angebot",3
"ObjectId(""5e7f429480102400074a9cca"")","traditionell, real fassbar, nicht fiktiv",4
"ObjectId(""5e7f429480102400074a9ccb"")","verführend, ungewiss",3
"ObjectId(""5e7f429480102400074a9ccc"")","menschlich",4
"ObjectId(""5e7f429480102400074a9ccd"")","Algorhythmus dahinter, maschinenähnlich",4
"ObjectId(""5e7f429480102400074a9cce"")","Sicherheit, z.B. Stellensicherheit",4
"ObjectId(""5e7f429480102400074a9ccf"")","freier, weniger Gesetze",4
"ObjectId(""5e7f429480102400074a9cd0"")","innovativ (verhalten sich wie in der Privatwirtschaft, als Staatsbetriebe)",4
"ObjectId(""5e7f429480102400074a9cd1"")","bewahrend, konservativ",4
"ObjectId(""5e7f429480102400074a9cd2"")","breites Angebot, gute Auswahl, finde das, was mir am Herzen liegt",4
"ObjectId(""5e7f429480102400074a9cd3"")","Geselligkeit, Zusammensein, Gesellschaft",4
"ObjectId(""5e7f429480102400074a9cd4"")","kundenorientiert, guter Service, machen es einem als Kunde einfach",3
"ObjectId(""5e7f429480102400074a9cd5"")","Individualität fehlt, starres Angebot, immer gleich",4
"ObjectId(""5e7f429480102400074a9cd6"")","konservativ und zuverlässig",4
"ObjectId(""5e7f429480102400074a9cd7"")","erfinderisch und relaxed",4
"ObjectId(""5e7f429480102400074a9cd8"")","mutig, etwas Neues zu wagen, alte Muster zu durchbrechen",4
"ObjectId(""5e7f429480102400074a9cd9"")","grosser Leistungsdruck, das wirkt demotivierend",4
